PR_65_52_00_00    PIPELINES
PR_40_10_57_24.2190A    CABLE IDENTIFICATION: 
PR_40_10_57_24.2200A    TERMINAL MARKING AND CONDUCTOR IDENTIFICATION: 
PR_40_10_57_24.2210A    UNDERGROUND CABLE IDENTIFICATION: 
PR_40_10_57_24.2220A    CABLE CONDUCTOR COLOUR CODING: 
PR_40_10_57_24.2230    CABLE JOINTING AND TERMINATION: 
PR_40_10_57_24.2260A    ADDITIONAL SAFETY SIGNS: 
PR_20_29_00_00    FIXING TO BUILDING FABRIC
PR_20_29_00_00.1000    GENERAL 
PR_20_29_00_00.1010            PREPARATION:
PR_20_29_00_00.1020        MANUFACTURER'S DRAWINGS:
PR_20_29_00_00.1030        FIXINGS:
PR_20_29_00_00.1040        LOADING DETAILS:
PR_20_29_00_00.1050        BUILDING-IN BY OTHERS:
PR_20_29_00_00.1060        SIZE OF FIXING:
PR_20_29_00_00.1070        GREASING OF FIXINGS:
PR_20_29_00_00.2010    STANDARDS: 
PR_20_29_00_00.2020    PLUGS: 
PR_20_29_00_00.2030    SCREWS: 
PR_20_29_00_00.2080    NON-PENETRATIVE SUPPORT SYSTEMS FOR ROOF MOUNTED EQUIPMENT: 
PR_20_29_00_00.3010    DRILLING: 
PR_20_29_00_00.3050    FIXING TO TIMBER RAILS: 
PR_20_29_00_00.3060A    FIXING TO HOLLOW STUD/TILE/BLOCK WALLS: 
PR_20_29_00_00.3070A    FIXING TO CONCRETE, BRICKWORK OR BLOCKWORK: 
PR_20_29_00_00.3080A    FIXING TO METALWORK: 
PR_20_29_00_00.3090A    FIXING TO STRUCTURAL STEELWORK AND CONCRETE STRUCTURES: 
PR_20_29_00_00.3100    NON-PENETRATIVE SUPPORT SYSTEMS FOR ROOF MOUNTED EQUIPMENT: 
PR_35_31_68_72    PAINTING AND ANTI-CORROSION TREATMENTS
PR_35_31_68_72.2010A    PAINT MATERIALS: 
PR_35_31_68_72.2020    PAINT QUALITY: 
PR_35_31_68_72.2030    HEAT RESISTANT PAINT:
PR_75_51_52_00    MOTOR DRIVES - ELECTRIC
PR_75_51_52_00.1000    GENERAL 
PR_75_51_52_00.1040A    MANUFACTURER FITTED SURGE SUPPRESSORS: 
PR_75_51_52_00.1040B    INSTALLER FITTED SURGE SUPPRESSORS: 
PR_75_51_52_00.1050A    MANUFACTURER FITTED TRANSIENT SUPPRESSORS: 
PR_75_51_52_00.1050B    INSTALLER FITTED TRANSIENT SURGE SUPPRESSORS: 
PR_75_51_52_00.2010A    STANDARD OPERATING CONDITIONS: 
PR_75_51_52_00.2010B    NON STANDARD OPERATING CONDITIONS: 
PR_75_51_52_00.2020    MOTORS - GENERAL: 
PR_75_51_52_00.2025A    MOTOR EFFICIENCY: 
PR_75_51_52_00.2025B    MOTOR EFFICIENCY: 
PR_75_51_52_00.2030    SLIDE RAILS: 
PR_75_51_52_00.2040    PLINTHS: 
PR_75_51_52_00.2050A    MOTOR RATINGS - UP TO AND INCLUDING 0.75KW: 
PR_75_51_52_00.2050B    MOTOR RATINGS - ABOVE 0.75KW UP TO AND INCLUDING 4KW: 
PR_75_51_52_00.2050C    MOTOR RATINGS - ABOVE 4KW SQUIRREL CAGE, DRIP-PROOF: 
PR_75_51_52_00.2050D    MOTOR RATINGS - ABOVE 4KW WOUND ROTOR, DRIP PROOF: 
PR_75_51_52_00.2050E    MOTOR RATINGS - ABOVE 4KW SQUIRREL CAGE, TOTALLY ENCLOSED: 
PR_75_51_52_00.2050F    MOTOR RATINGS - ABOVE 4KW WOUND ROTOR, TOTALLY ENCLOSED: 
PR_75_51_52_00.2050G    MOTOR RATINGS - ABOVE 4KW SQUIRREL CAGE, SMOKESPILL: 
PR_75_51_52_00.2050H    ABOVE 4KW SQUIRREL CAGE, ENERGY EFFICIENT DESIGN: 
PR_75_51_52_00.2060A    MOTORS - OVER TEMPERATURE PROTECTION, THERMISTORS: 
PR_75_51_52_00.2070A    INDIRECT DRIVES WITH TOOTHED BELTS: 
PR_75_51_52_00.2070B    INDIRECT DRIVES WITH FLAT BELTS: 
PR_75_51_52_00.2080A    DIRECT COUPLED DRIVES: 
PR_75_51_52_00.2085    VARIABLE SPEED DRIVE: 
PR_75_51_52_00.2090A    GUARDS: 
SS_75_70_54_10    CENTRAL CONTROL/BUILDING MANAGEMENT
SS_75_70_54_10.300.000    GENERAL
SS_75_70_54_10.300.010    SYSTEM REQUIREMENTS
SS_75_70_54_10.300.020    CONTROL SYSTEM
SS_75_70_54_10.300.060    CONTROL COMPONENTS MANUFACTURER
SS_75_70_54_10.300.090    FINISHES
SS_75_70_54_10.300.100    ELECTROMAGNETIC COMPATIBILITY
SS_75_70_54_10.300.130    INTEGRATED SYSTEM
SS_75_70_54_10.310.020    GENERAL REQUIREMENTS - ELECTRICAL SAFETY
SS_75_70_54_10.310.030    GENERAL REQUIREMENTS - ELECTRICAL SUPPLY
SS_75_70_54_10.310.040    GENERAL REQUIREMENTS - EMC
SS_75_70_54_10.310.050    GENERAL REQUIREMENTS - EMERGENCY RESTORATION PROCEDURES
SS_75_70_54_10.310.070    GENERAL REQUIREMENTS - TIME SYNCHRONISATION
SS_75_70_54_10.310.080    GENERAL REQUIREMENTS - SYSTEM SECURITY
SS_75_70_54_10.310.090    GENERAL REQUIREMENTS - SYSTEM SOFTWARE
SS_75_70_54_10.310.093    GENERAL REQUIREMENTS - CHOICE OF CONTROL STRATEGY
SS_75_70_54_10.310.095    GENERAL REQUIREMENTS - DESIGN FOR COMMISSIONABILITY
SS_75_70_54_10.310.096    GENERAL REQUIREMENTS - FUTURE SYSTEM EXPANSION
SS_75_70_54_10.310.097    GENERAL REQUIREMENTS - DESIGN FOR MAINTAINABILITY
SS_75_70_54_10.310.100    GENERAL REQUIREMENTS - SYSTEM SUPPORT
SS_75_70_54_10.310.105    GENERAL REQUIREMENTS - SYSTEM MAINTENANCE
SS_75_70_54_10.310.110    OPERATOR WORKSTATION - OPERATIONAL CHARACTERISTICS
SS_75_70_54_10.310.120    OPERATOR WORKSTATION EQUIPMENT:
SS_75_70_54_10.310.130    OPERATOR WORKSTATION - MONITORING AND LOGGING FUNCTIONS:
SS_75_70_54_10.310.140    OPERATOR WORKSTATION - GRAPHICAL OPERATOR INTERFACES:
SS_75_70_54_10.310.150    OPERATOR WORKSTATION - HELP AND ASSISTANCE:
SS_75_70_54_10.310.160    OPERATOR WORKSTATION - INTEGRATION WITH THIRD PARTY MANAGEMENT SOFTWARE:
SS_75_70_54_10.310.170    OPERATOR WORKSTATION - SYSTEM ALARMS:
SS_75_70_54_10.310.180    FIELD CONTROLLERS - MODES OF OPERATION:
SS_75_70_54_10.310.190    FIELD CONTROLLERS - PHYSICAL CONSTRUCTION:
SS_75_70_54_10.310.200    FIELD CONTROLLERS - TERMINATIONS:
SS_75_70_54_10.310.210    FIELD CONTROLLERS - FUTURE EXPANSION:
SS_75_70_54_10.310.220    FIELD CONTROLLERS - CONTROLLER INPUTS:
SS_75_70_54_10.310.230    FIELD CONTROLLERS - CONTROLLER OUTPUTS:
SS_75_70_54_10.310.240    FIELD CONTROLLERS - POSITIVE FEEDBACK:
SS_75_70_54_10.310.250    FIELD CONTROLLERS - DATA MONITORING AND LOGGING:
SS_75_70_54_10.310.260    FIELD CONTROLLERS - ENVIRONMENTAL CONDITIONS:
SS_75_70_54_10.310.270    FIELD CONTROLLERS - INTERNAL POWER BACKUP:
SS_75_70_54_10.310.280    FIELD CONTROLLERS - MEANS OF CONFIGURATION:
SS_75_70_54_10.310.290    FIELD CONTROLLERS - USER INTERFACES:
SS_75_70_54_10.310.310    OCCUPANT CONTROLS - TELEPHONE-BASED:
SS_75_70_54_10.310.320    OCCUPANT CONTROLS - OFFICE IT/INTRANET BASED:
SS_75_70_54_10.310.330    CONTROL FUNCTIONS AND ROUTINES - GENERAL:
SS_75_70_54_10.310.340    CONTROL FUNCTIONS AND ROUTINES - BASIC CONTROL FUNCTIONS:
SS_75_70_54_10.310.350    CONTROL FUNCTIONS AND ROUTINES - CONTROL INTERLOCKS:
SS_75_70_54_10.310.360    CONTROL FUNCTIONS AND ROUTINES - TIME SCHEDULES:
SS_75_70_54_10.310.370    CONTROL FUNCTIONS AND ROUTINES - PLANT START/STOP CONTROL:
SS_75_70_54_10.310.380    CONTROL FUNCTIONS AND ROUTINES - SEQUENCE CONTROL:
SS_75_70_54_10.310.390    CONTROL FUNCTIONS AND ROUTINES - PLANT ROTATION CONTROL:
SS_75_70_54_10.310.410    CONTROL FUNCTIONS AND ROUTINES - OPTIMUM START/STOP FOR COOLING SYSTEMS:
SS_75_70_54_10.310.440    SYSTEM COMMUNICATIONS - GENERAL:
SS_75_70_54_10.310.450    SYSTEM COMMUNICATIONS - COMMUNICATION DEVICES:
SS_75_70_54_10.310.470    SYSTEM COMMUNICATIONS - DIRECT INTEROPERABILITY:
SS_75_70_54_10.310.490    SENSORS AND DETECTORS - GENERAL:
SS_75_70_54_10.310.500    SENSORS AND DETECTORS - TEMPERATURE SENSORS:
SS_75_70_54_10.310.510    SENSORS AND DETECTORS - HUMIDITY SENSORS:
SS_75_70_54_10.310.520    SENSORS AND DETECTORS - AIR VELOCITY SENSORS:
SS_75_70_54_10.310.530    SENSORS AND DETECTORS - AIR PRESSURE SENSORS:
SS_75_70_54_10.310.535    SENSOR AND DETECTORS - FLOW SENSORS:
SS_75_70_54_10.310.540    SENSORS AND DETECTORS - FLOW METERS:
SS_75_70_54_10.310.545    SENSORS AND DETECTORS - LEVEL SENSORS:
SS_75_70_54_10.310.545A    DIFFERENTIAL PRESSURE SENSORS
SS_75_70_54_10.310.546    SENSORS AND DETECTORS - OTHER SENSORS:
SS_75_70_54_10.310.565    TRANSDUCERS:
SS_75_70_54_10.310.600    SWITCHES AND THERMOSTATS
SS_75_70_54_10.310.605    AIR DIFFERENTIAL PRESSURE SWITCHES:
SS_75_70_54_10.310.615    AIR SENSOR - INSERTION TYPE:
SS_75_70_54_10.310.635    AIR THERMOSTATS - REMOTE BULB TYPE:
SS_75_70_54_10.310.640    AIR THERMOSTATS - FROST PROTECTION TYPE:
SS_75_70_54_10.310.645    WATER IMMERSION THERMOSTATS:
SS_75_70_54_10.310.700    ACTUATORS:
SS_75_70_54_10.310.800    VALVES AND DAMPERS:
SS_75_70_54_10.310.805    MOTORISED VALVES:
SS_75_70_54_10.310.900    DAMPERS:
SS_75_70_54_10.310.905    MOTORISED DAMPERS:
SS_75_70_54_10.320.000    INSTALLATION:
SS_75_70_54_10.320.050    FIXING AND CONNECTION - CABLING INSTALLED AS PART OF THE BMS CONTRACT:
SS_75_70_54_10.320.060    FIXING AND CONNECTION - USE OF EXISTING CABLE AND WIREWAYS:
SS_75_70_54_10.320.070    FIXING AND CONNECTION - CONNECTION TO PLANT AND CONTROL EQUIPMENT:
SS_75_70_54_10.320.080    FIXING AND CONNECTION - ADDITIONAL PROVISIONS FOR RETROFIT INSTALLATIONS:
SS_75_70_54_10.320.090    FIXING AND CONNECTION - CABINETS FOR BMS EQUIPMENT:
SS_75_70_54_10.320.100    FIXING AND CONNECTION - CONTROL PANELS:
SS_75_70_54_10.320.110    SENSORS - GENERAL:
SS_75_70_54_10.320.120    TEMPERATURE SENSORS:
SS_75_70_54_10.320.130    HUMIDITY SENSORS:
SS_75_70_54_10.320.140    PRESSURE SENSORS:
SS_75_70_54_10.320.150    FLOW VELOCITY/FLOW RATE SENSORS:
SS_75_70_54_10.320.160    INDOOR AIR QUALITY SENSORS:
320.170    ACTUATORS:
SS_75_70_54_10.320.180    VALVES:
SS_75_70_54_10.320.190    VALVE SIZING REQUIREMENTS
SS_75_70_54_10.320.200    DAMPERS
SS_75_70_54_10.320.210    COMMUNICATION NETWORKS - GENERAL
SS_75_70_54_10.320.220    COMMUNICATION NETWORKS - STRUCTURED CABLING
SS_75_70_54_10.320.230    COMMUNICATION NETWORKS - INTRANET AND INTERNET APPLICATIONS
SS_75_70_54_10.320.240    COMMUNICATION NETWORKS - MAINS-BOURNE SIGNALLING
SS_75_70_54_10.320.280    INTEGRATION WITH FIRE DETECTION SYSTEMS - INTEGRATION FOR CONTROLS
SS_75_70_54_10.330.330    CONTROLS CIRCUITS:
SS_75_70_54_10.330.350    CONTROL PANELS:
SS_75_70_54_10.340.000    WORKMANSHIP:
SS_75_70_54_10.340.010    GENERAL:
SS_75_70_54_10.340.020    APPEARANCE:
SS_75_70_54_10.340.030    INSULATION:
SS_75_70_54_10.340.040    SUPPORTS:
SS_75_70_54_10.340.050    ACCESS:
SS_75_70_54_10.340.080    POWER OPERATED CONTROLS:
SS_75_70_54_10.340.110    ANCILLARIES:
SS_75_70_54_10.340.120    ENCLOSURES:
SS_75_70_54_10.340.130    BUILDING MANAGEMENT SYSTEM INSTALLATION:
SS_75_70_54_10.340.140    BUILDING MANAGEMENT SYSTEM CABLE INSTALLATION:
SS_75_70_54_10.340.150    BUILDING MANAGEMENT SYSTEM QUALITY CONTROL:
SS_75_70_54_10.340.160    CONTROL SYSTEM FUNCTION CHARTS:
SS_75_70_54_10.350.000    COMMISSIONING
SS_75_70_54_10.360.000    DEMONSTRATION AND HANDOVER
SS_75_70_54_10.360.010    WITNESSING REQUIREMENTS:
SS_75_70_54_10.360.020    OPERATOR TRAINING:
SS_75_70_54_10.360.030    OPERATION AND MAINTENANCE MANUALS:
SS_75_70_54_10.360.040    SOFTWARE:
SS_75_70_54_10.360.050    POST-HANDOVER CHECKS:
BS    APPENDIX
BS    21:1985 
BS    5499-5:2002 
BS    7649:1993 
BS    7671:2008 
BS    EN 10213:2007 
BS    EN 10226-1:2004 
BS    EN 12163:1998 
BS    EN 12164:1998 
BS    EN 12167:1998 
BS    EN 14597:2005 
BS    EN 15500:2008 
BS    EN 1561:1997 
BS    EN 1982:2008 
BS    EN 50065-1:2001 
BS    EN 50160:2007 
BS    EN 55022:2006+A1:2007 
BS    EN 60439-1:1999 
BS    EN 60529:1992 
BS    EN 60730-2-13:2008 
BS    EN 60730-2-16:1998 
BS    EN 60730-2-18:1999 
BS    EN 60730-2-8:2002 
BS    EN 60730-2-9:2002 
BS    EN 60801-2:1993 
BS    EN 60848:2002 
BS    EN 60950-1:2006 
BS    EN 61000-4-1:2007 
BS    EN 61000-6-1:2007 
BS    EN 61000-6-2:2005 
BS    EN 61000-6-3:2007 
BS    EN ISO 16484-2:2004 
BS    EN ISO 16484-3:2005 
BS    ISO/IEC 17799:2005 
BS    ISO/IEC 27001:2005 
prEN    13646:1999 
